"INDICATOR","HFA_617"

"HFA_617","GINI coefficient (income distribution)"

"UNIT_TYPE","Unit"
"SCORE","score"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"SCORE","Score"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"
"JMF","Joint Monitoring Framework (JMF)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1996","27"
"ALB","","ALL","2002","31.7"
"ALB","","ALL","2005","30.6"
"ALB","","ALL","2008","30"
"ALB","","ALL","2012","29"
"ALB","","ALL","2014","34.6"
"ALB","","ALL","2015","32.9"
"ALB","","ALL","2016","33.7"
"ALB","","ALL","2017","33.2"
"ARM","","ALL","1999","36.2"
"ARM","","ALL","2001","35.4"
"ARM","","ALL","2002","34.8"
"ARM","","ALL","2003","33"
"ARM","","ALL","2004","37.5"
"ARM","","ALL","2005","36"
"ARM","","ALL","2006","29.7"
"ARM","","ALL","2007","31.2"
"ARM","","ALL","2008","29.2"
"ARM","","ALL","2009","28"
"ARM","","ALL","2010","30"
"ARM","","ALL","2011","29.4"
"ARM","","ALL","2012","29.6"
"ARM","","ALL","2013","30.6"
"ARM","","ALL","2014","31.5"
"ARM","","ALL","2015","32.4"
"ARM","","ALL","2016","32.5"
"ARM","","ALL","2017","33.6"
"ARM","","ALL","2018","34.4"
"ARM","","ALL","2019","29.9"
"AUT","","ALL","1995","27"
"AUT","","ALL","1996","26"
"AUT","","ALL","1997","25"
"AUT","","ALL","1998","24"
"AUT","","ALL","1999","26"
"AUT","","ALL","2000","28.8"
"AUT","","ALL","2001","24"
"AUT","","ALL","2002","27.2"
"AUT","","ALL","2003","29.5"
"AUT","","ALL","2004","29.8"
"AUT","","ALL","2005","28.7"
"AUT","","ALL","2006","29.6"
"AUT","","ALL","2007","30.6"
"AUT","","ALL","2008","30.4"
"AUT","","ALL","2009","31.5"
"AUT","","ALL","2010","30.3"
"AUT","","ALL","2011","30.8"
"AUT","","ALL","2012","30.5"
"AUT","","ALL","2013","30.8"
"AUT","","ALL","2014","30.5"
"AUT","","ALL","2015","30.5"
"AUT","","ALL","2016","30.8"
"AUT","","ALL","2017","29.7"
"AUT","","ALL","2018","30.8"
"AUT","","ALL","2019","27.5"
"AZE","","ALL","1995","34.7"
"AZE","","ALL","2001","36.5"
"AZE","","ALL","2002","25.3"
"AZE","","ALL","2003","26.8"
"AZE","","ALL","2004","26.6"
"AZE","","ALL","2005","26.6"
"BEL","","ALL","1995","29"
"BEL","","ALL","1996","28"
"BEL","","ALL","1997","27"
"BEL","","ALL","1998","27"
"BEL","","ALL","1999","29"
"BEL","","ALL","2000","33.1"
"BEL","","ALL","2001","28"
"BEL","","ALL","2002","26.3"
"BEL","","ALL","2003","28.1"
"BEL","","ALL","2004","30.5"
"BEL","","ALL","2005","29.3"
"BEL","","ALL","2006","28.1"
"BEL","","ALL","2007","29.2"
"BEL","","ALL","2008","28.4"
"BEL","","ALL","2009","28.6"
"BEL","","ALL","2010","28.4"
"BEL","","ALL","2011","28.1"
"BEL","","ALL","2012","27.5"
"BEL","","ALL","2013","27.7"
"BEL","","ALL","2014","28.1"
"BEL","","ALL","2015","27.7"
"BEL","","ALL","2016","27.6"
"BEL","","ALL","2017","27.4"
"BEL","","ALL","2018","27.2"
"BEL","","ALL","2019","25.1"
"BGR","","ALL","1999","40.8"
"BGR","","ALL","2000","25"
"BGR","","ALL","2001","26"
"BGR","","ALL","2002","26"
"BGR","","ALL","2003","37"
"BGR","","ALL","2004","35.4"
"BGR","","ALL","2005","35.4"
"BGR","","ALL","2006","35.7"
"BGR","","ALL","2007","36.1"
"BGR","","ALL","2008","33.6"
"BGR","","ALL","2009","33.8"
"BGR","","ALL","2010","35.7"
"BGR","","ALL","2011","34.3"
"BGR","","ALL","2012","36"
"BGR","","ALL","2013","36.6"
"BGR","","ALL","2014","37.4"
"BGR","","ALL","2015","38.6"
"BGR","","ALL","2016","40.6"
"BGR","","ALL","2017","40.4"
"BGR","","ALL","2018","41.3"
"BGR","","ALL","2019","40.8"
"BIH","","ALL","2001","30"
"BIH","","ALL","2004","34"
"BIH","","ALL","2007","33.1"
"BIH","","ALL","2011","33"
"BIH","","ALL","2015","32.7"
"BLR","","ALL","1998","32"
"BLR","","ALL","1999","31.7"
"BLR","","ALL","2000","31.2"
"BLR","","ALL","2001","30.6"
"BLR","","ALL","2002","30.3"
"BLR","","ALL","2003","28.8"
"BLR","","ALL","2004","26.5"
"BLR","","ALL","2005","27.6"
"BLR","","ALL","2006","28.3"
"BLR","","ALL","2007","29.6"
"BLR","","ALL","2008","27.8"
"BLR","","ALL","2009","27.7"
"BLR","","ALL","2010","28.6"
"BLR","","ALL","2011","27.2"
"BLR","","ALL","2012","26.5"
"BLR","","ALL","2013","26.6"
"BLR","","ALL","2014","27.2"
"BLR","","ALL","2015","25.6"
"BLR","","ALL","2016","25.3"
"BLR","","ALL","2017","25.4"
"BLR","","ALL","2018","25.2"
"BLR","","ALL","2019","25.3"
"","CARINFONET","ALL","1998","40.33"
"","CARINFONET","ALL","2002","33.79"
