Country Name,Country Code,Year,Value;
Albanien,ALB,1996,27
Albanien,ALB,2002,31
Albanien,ALB,2005,30
Albanien,ALB,2008,30
Albanien,ALB,2012,29
Albanien,ALB,2014,34
Albanien,ALB,2015,32
Albanien,ALB,2016,33
Albanien,ALB,2017,33
Algeria,DZA,1988,40
Algeria,DZA,1995,35
Algeria,DZA,2011,27
Angola,AGO,2008,42
Argentina,ARG,1980,40
Argentina,ARG,1986,42
Argentina,ARG,1987,45
Argentina,ARG,1991,46
Argentina,ARG,1992,45
Argentina,ARG,1993,44
Argentina,ARG,1994,45
Argentina,ARG,1995,48
Argentina,ARG,1996,49
Argentina,ARG,1997,49
Argentina,ARG,1998,50
Argentina,ARG,1999,49
Argentina,ARG,2000,51
Argentina,ARG,2001,53
Argentina,ARG,2002,53
Argentina,ARG,2003,50
Argentina,ARG,2004,48
Argentina,ARG,2005,47
Argentina,ARG,2006,46
Argentina,ARG,2007,46
Argentina,ARG,2008,44
Argentina,ARG,2009,43
Argentina,ARG,2010,43
Argentina,ARG,2011,42
Argentina,ARG,2012,41
Argentina,ARG,2013,41
Argentina,ARG,2014,41
Argentina,ARG,2016,42
Armenien,ARM,1999,36
Armenien,ARM,2001,35
Armenien,ARM,2002,34
Armenien,ARM,2003,33
Armenien,ARM,2004,37
Armenien,ARM,2005,36
Armenien,ARM,2006,29
Armenien,ARM,2007,31
Armenien,ARM,2008,29
Armenien,ARM,2009,28
Armenien,ARM,2010,30
Armenien,ARM,2011,29
Armenien,ARM,2012,29
Armenien,ARM,2013,30
Armenien,ARM,2014,31
Armenien,ARM,2015,32
Armenien,ARM,2016,32
Armenien,ARM,2017,33
Armenien,ARM,2018,34
Armenien,ARM,2019,29
Australia,AUS,1981,31
Australia,AUS,1985,32
Australia,AUS,1989,33
Australia,AUS,1995,32
Australia,AUS,2001,33
Australia,AUS,2003,33
Australia,AUS,2008,35
Australia,AUS,2010,34
Austria,AUT,1995,27
Austria,AUT,1996,26
Austria,AUT,1997,25
Austria,AUT,1998,24
Austria,AUT,1999,26
Austria,AUT,2000,28
Austria,AUT,2001,24
Austria,AUT,2002,27
Austria,AUT,2003,29
Austria,AUT,2004,29
Austria,AUT,2005,28
Austria,AUT,2006,29
Austria,AUT,2007,30
Austria,AUT,2008,30
Austria,AUT,2009,31
Austria,AUT,2010,30
Austria,AUT,2011,30
Austria,AUT,2012,30
Austria,AUT,2013,30
Austria,AUT,2014,30
Austria,AUT,2015,30
Austria,AUT,2016,30
Austria,AUT,2017,29
Austria,AUT,2018,30
Austria,AUT,2019,27
Azerbaijan,AZE,1995,34
Azerbaijan,AZE,2001,36
Azerbaijan,AZE,2002,17
Azerbaijan,AZE,2003,18
Azerbaijan,AZE,2004,16
Azerbaijan,AZE,2005,16
Bangladesh,BGD,1983,25
Bangladesh,BGD,1985,26
Bangladesh,BGD,1988,28
Bangladesh,BGD,1991,27
Bangladesh,BGD,1995,32
Bangladesh,BGD,2000,33
Bangladesh,BGD,2005,33
Bangladesh,BGD,2010,32
Bangladesh,BGD,2016,32
Belarus,BLR,1998,32
Belarus,BLR,1998,32
Belarus,BLR,1999,31
Belarus,BLR,1999,31
Belarus,BLR,2000,31
Belarus,BLR,2000,31
Belarus,BLR,2001,30
Belarus,BLR,2001,30
Belarus,BLR,2002,30
Belarus,BLR,2002,30
Belarus,BLR,2003,28
Belarus,BLR,2003,28
Belarus,BLR,2004,26
Belarus,BLR,2004,26
Belarus,BLR,2005,27
Belarus,BLR,2005,27
Belarus,BLR,2006,28
Belarus,BLR,2006,28
Belarus,BLR,2007,29
Belarus,BLR,2007,29
Belarus,BLR,2008,27
Belarus,BLR,2008,27
Belarus,BLR,2009,27
Belarus,BLR,2009,27
Belarus,BLR,2010,28
Belarus,BLR,2010,28
Belarus,BLR,2011,27
Belarus,BLR,2011,27
Belarus,BLR,2012,26
Belarus,BLR,2012,26
Belarus,BLR,2013,26
Belarus,BLR,2013,26
Belarus,BLR,2014,27
Belarus,BLR,2014,27
Belarus,BLR,2015,25
Belarus,BLR,2015,26
Belarus,BLR,2016,25
Belarus,BLR,2016,27
